,date,data
0,2020-04-20 00:00:00,8790
1,2020-04-20 01:00:00,9324
2,2020-04-20 02:00:00,5868
3,2020-04-20 03:00:00,8290
4,2020-04-20 04:00:00,5114
5,2020-04-20 05:00:00,6276
6,2020-04-20 06:00:00,6540
7,2020-04-20 07:00:00,7061
8,2020-04-20 08:00:00,8906
9,2020-04-20 09:00:00,9993
10,2020-04-20 10:00:00,9708
11,2020-04-20 11:00:00,9238
12,2020-04-20 12:00:00,6361
13,2020-04-20 13:00:00,9394
14,2020-04-20 14:00:00,8377
15,2020-04-20 15:00:00,8679
16,2020-04-20 16:00:00,7444
17,2020-04-20 17:00:00,6885
18,2020-04-20 18:00:00,9318
19,2020-04-20 19:00:00,6425
20,2020-04-20 20:00:00,9797
21,2020-04-20 21:00:00,9480
22,2020-04-20 22:00:00,6320
23,2020-04-20 23:00:00,8683
24,2020-04-21 00:00:00,5886
25,2020-04-21 01:00:00,8958
26,2020-04-21 02:00:00,6672
27,2020-04-21 03:00:00,9385
28,2020-04-21 04:00:00,6884
29,2020-04-21 05:00:00,8055
30,2020-04-21 06:00:00,6536
31,2020-04-21 07:00:00,6717
32,2020-04-21 08:00:00,6146
33,2020-04-21 09:00:00,8175
34,2020-04-21 10:00:00,5941
35,2020-04-21 11:00:00,6238
36,2020-04-21 12:00:00,8407
37,2020-04-21 13:00:00,8225
38,2020-04-21 14:00:00,8775
39,2020-04-21 15:00:00,5995
40,2020-04-21 16:00:00,8181
41,2020-04-21 17:00:00,8926
42,2020-04-21 18:00:00,5449
43,2020-04-21 19:00:00,8365
44,2020-04-21 20:00:00,6178
45,2020-04-21 21:00:00,9488
46,2020-04-21 22:00:00,7671
47,2020-04-21 23:00:00,9609
48,2020-04-22 00:00:00,7713
49,2020-04-22 01:00:00,9865
50,2020-04-22 02:00:00,7906
51,2020-04-22 03:00:00,8041
52,2020-04-22 04:00:00,8400
53,2020-04-22 05:00:00,9080
54,2020-04-22 06:00:00,6067
55,2020-04-22 07:00:00,6695
56,2020-04-22 08:00:00,9643
57,2020-04-22 09:00:00,8164
58,2020-04-22 10:00:00,8483
59,2020-04-22 11:00:00,5106
60,2020-04-22 12:00:00,8437
61,2020-04-22 13:00:00,6499
62,2020-04-22 14:00:00,7445
63,2020-04-22 15:00:00,9517
64,2020-04-22 16:00:00,7159
65,2020-04-22 17:00:00,6614
66,2020-04-22 18:00:00,9136
67,2020-04-22 19:00:00,6775
68,2020-04-22 20:00:00,8769
69,2020-04-22 21:00:00,8186
70,2020-04-22 22:00:00,7038
71,2020-04-22 23:00:00,7212
72,2020-04-23 00:00:00,8275
73,2020-04-23 01:00:00,8047
74,2020-04-23 02:00:00,6035
75,2020-04-23 03:00:00,8802
76,2020-04-23 04:00:00,7744
77,2020-04-23 05:00:00,6313
78,2020-04-23 06:00:00,9127
79,2020-04-23 07:00:00,8417
80,2020-04-23 08:00:00,5153
81,2020-04-23 09:00:00,7753
82,2020-04-23 10:00:00,5883
83,2020-04-23 11:00:00,8892
84,2020-04-23 12:00:00,6389
85,2020-04-23 13:00:00,6983
86,2020-04-23 14:00:00,8636
87,2020-04-23 15:00:00,7922
88,2020-04-23 16:00:00,9971
89,2020-04-23 17:00:00,6682
90,2020-04-23 18:00:00,5322
91,2020-04-23 19:00:00,8533
92,2020-04-23 20:00:00,8715
93,2020-04-23 21:00:00,6147
94,2020-04-23 22:00:00,6034
95,2020-04-23 23:00:00,6051
96,2020-04-24 00:00:00,5767
97,2020-04-24 01:00:00,9721
98,2020-04-24 02:00:00,5062
99,2020-04-24 03:00:00,8108
100,2020-04-24 04:00:00,7023
101,2020-04-24 05:00:00,7182
102,2020-04-24 06:00:00,9022
103,2020-04-24 07:00:00,6011
104,2020-04-24 08:00:00,9936
105,2020-04-24 09:00:00,8109
106,2020-04-24 10:00:00,6160
107,2020-04-24 11:00:00,8526
108,2020-04-24 12:00:00,6661
109,2020-04-24 13:00:00,9159
110,2020-04-24 14:00:00,9976
111,2020-04-24 15:00:00,7271
112,2020-04-24 16:00:00,6592
113,2020-04-24 17:00:00,5123
114,2020-04-24 18:00:00,5814
115,2020-04-24 19:00:00,9948
